序号	英文	释义
532	pessimistic	悲观的 (adj.)
533	denote	意思是； 表示， 是…的标志 (vt.)
534	emphasis	强调； 重视； 重要性 (n.)
535	interrupt	打断， 中止； 打扰 (v.)
536	propagate	繁殖， 增殖； 传播， 宣传， 普及 (v.)
537	feasible	可行的， 可能的 (adj.)
538	majesty	陛下； 雄伟， 壮丽； 庄严 (n.)
539	flatter	向…谄媚， 奉承； 使满意， 使感到荣幸； 使显得好看， 使显得突出 (vt.)
540	potential	潜在的，可能的 (adj.)
541	necessitate	成为必要， 需要 (vt.)
542	orthodox	传统的； 正统的， 正宗的 (adj.)
543	accustomed	惯常的， 习惯的 (adj.)
544	combination	结合， 联合； 化合 (n.)
545	obtain	通用， 流行； 存在 (vi.)
546	statesman	国务活动家， 政治家 (n.)
547	tack	平头钉，大头钉；行动方向，方针 (n.)
548	gross	总的； 严重的； 粗俗的； 臃肿的 (adj.)
549	lounge	倚，躺；闲逛，闲荡 (vi.)
550	porch	门廊 (n.)
551	workshop	车间， 工场； 专题讨论会 (n.)
552	format	设计，安排；格式，样式，版式 (n.)
553	sacrifice	牺牲， 舍身； 献祭， 供奉； 祭品 (n&v.)
554	illegal	不合法的， 非法的 (adj.)
555	corps	队， 部队； 一组 (n.)
556	eclipse	食；消失，黯然失色 (n.)
557	formal	正式的； 礼仪上的 (adj.)
558	correlate	相关， 关联 (vi.)
559	soar	猛增， 剧增； 高飞， 升腾； 高涨； 高耸， 屹立 (vi.)
560	commute	乘公交车上下班，经常乘车往返于两地 (vi.)
561	sustain	保持， 使持续下去； 供养， 维持； 支持， 支撑； 经受， 遭受 (vt.)
562	critical	决定性的； 批评的 (adj.)
563	shepherd	牧羊人，羊倌 (n.)
564	outcry	大声疾呼， 呐喊； 强烈抗议 (n.)
565	radiant	容光焕发的， 喜形于色的； 光芒四射的， 光辉灿烂的； 辐射的 (adj.)
566	principal	最重要的，主要的 (adj.)
567	exceedingly	极端地， 非常 (adv.)
568	uphold	支持， 维护 (vt.)
569	exotic	外来的， 异国情调的； 奇异的 (adj.)
570	relief	轻松， 宽慰； 缓解， 减轻， 解除； 使得到调剂； 接替， 替下 (n.)
571	boycott	抵制， 拒绝参与 (n&vt.)
572	dimension	尺寸， 尺度， 面积； 方面， 特点； 面积， 规模 (n.)
573	deserve	应受， 值得 (vt.)
574	process	过程；制作方法；程序 (n.)
575	revenge	报复，报仇 (n.)
576	restore	恢复， 使恢复； 修复， 整修； 归还， 交还 (vt.)
577	subscribe	订阅，订购；同意，赞成 (vi.)
578	distill	蒸馏， 用蒸馏法提取； 吸取， 提炼 (vt.)
579	alternative	两者选一的， 供选择的； 另类的 (adj.)
580	concentration	集中； 专注， 专心； 浓缩； 浓度 (n.)
581	velocity	速度， 速率 (n.)
582	encounter	遭遇，遇到 (vt.)
583	fellowship	伙伴关系， 交情， 友谊； 团体， 协会， 联谊会； 奖学金， 研究员职位 (n.)
584	colleague	同事， 同僚 (n.)
585	approve	赞成， 称许 (vi.)
586	pedestrian	步行者， 行人 (n.)
587	interfere	干涉， 干预， 妨碍 (vi.)
588	apartment	一套公寓房间 (n.)
589	account	说明…的原因； 占… (vi.)
590	fitting	适合的， 恰当的 (adj.)
591	stack	堆，垛 (n.)
592	radioactive	放射性的， 有辐射能的 (adj.)
593	resent	对…表示愤恨， 怨恨 (vt.)
594	stride	大踏步走 (vi.)
595	ambiguous	引起歧义的， 模棱两可的， 含糊不清的 (adj.)
596	impulsive	冲动的 (adj.)
597	qualitative	性质的， 定性的 (adj.)
598	diverse	不一样的， 相异的； 多种多样的 (adj.)
599	crisp	脆的，鲜脆的；挺括的；清新的，干冷的；简明扼要的，利落的 (adj.)
600	prime	首要的；最好的 (adj.)
601	intellect	智力， 理解力； 才智非凡的人 (n.)
602	preference	喜爱， 偏爱； 优先； 偏爱的事物 (n.)
603	mild	温柔的； 温暖的； 轻微的 (adj.)
604	loyal	忠诚的， 忠心的 (adj.)
605	impact	影响， 作用， 冲击 (v.)
606	paralysis	麻痹， 瘫痪， 中风； 无能， 无力 (n.)
607	court	法院， 法庭； 庭院； 宫廷； 球场 (n.)
608	chapel	小教堂， 祈祷室 (n.)
609	distort	变形 (vi.)
610	subsidiary	辅助的，次要的，附设的 (adj.)
611	venture	冒险； 大胆行事 (vi.)
612	discern	看出， 察觉出； 识别， 认出 (vt.)
613	enthusiasm	热情， 热心， 热忱； 巨大兴趣 (n.)
614	flexible	易弯曲的； 灵活的 (adj.)
615	domain	领域， 范围； 领地， 势力范围 (n.)
616	census	人口普查， 统计 (n.)
617	corpse	死尸， 尸体 (n.)
618	willful	故意的， 特意的 (adj.)
619	attitude	态度， 看法； 姿势 (n.)
620	relative	有关系的，相对的 (adj.)
621	compare	比较， 对照； 把…比作 (vt.)
622	depict	描绘， 描述 (vt.)
623	hop	单足跳跃，单足跳行；齐足跳跃，齐足跳行 (vi.)
624	characteristic	特有的，典型的 (adj.)
625	involvement	连累； 包含 (n.)
626	pave	铺， 铺筑 (vt.)
627	integral	构成整体所必需的， 基本的 (adj.)
628	lubricate	使润滑 (vt.)
629	comet	彗星 (n.)
630	deadline	最后期限 (n.)
631	bully	恃强欺弱者 (n.)
632	chip	屑片， 碎片； 炸土豆条； 集成电路片， 集成块； 缺口， 瑕疵 (n.)
633	medieval	中世纪的； 中古的 (adj.)
634	tanker	油轮 (n.)
635	involve	使卷入， 牵涉； 包含， 含有 (vt.)
636	pistol	手枪 (n.)
637	assemble	集合，召集 (vi.)
638	watertight	不透水的， 防水的； 严密的， 无懈可击的 (adj.)
639	transition	过渡， 转变 (n.)
640	repel	使厌恶； 击退， 逐回， 驱除； 排斥 (vt.)
641	mutter	轻声低语； 小声抱怨 (n&v.)
642	series	一系列， 连续； 丛书， 连续剧 (n.)
643	complicated	复杂的， 难懂的 (adj.)
644	junk	废旧物品，破烂 (n.)
645	maximum	最大的； 最高的； 顶点的 (adj.)
646	thrive	兴旺， 繁荣， 旺盛 (vi.)
647	imaginative	富有想象力的， 爱想象的 (adj.)
648	penguin	企鹅 (n.)
649	represent	作为…的代表， 表示， 象征； 描绘， 表现 (vt.)
650	masterpiece	杰作 (n.)
651	compete	比赛， 竞争， 对抗 (vi.)
652	tolerant	宽容的， 容忍的 (adj.)
653	dispatch	派遣，调遣，发送 (vt.)
654	emergency	紧急情况， 突然事件 (n.)
655	dim	昏暗的，朦胧的；模糊不清的 (adj.)
656	paralyze	使瘫痪， 使麻痹； 使丧失作用； 使惊愕， 使呆若木鸡 (vt.)
657	interpersonal	人与人之间的， 关于人与人之间关系的 (adj.)
658	exemplary	可作楷模的， 典范的 (adj.)
659	faculty	才能， 能力； 系， 科； 全体教员 (n.)
660	layoff	解雇； 裁员； 歇工期， 停工期 (n.)
661	wretched	极不愉快的， 难受的， 可怜的； 令人苦恼的， 讨厌的； 拙劣的 (adj.)
662	absurd	荒谬的， 荒唐的 (adj.)
663	modesty	谦虚 (n.)
664	considerate	考虑周到的， 体贴的， 体谅的 (adj.)
665	glamor	魅力， 诱惑力 (n.)
666	clue	线索， 暗示， 提示 (n.)
667	bracket	括号；等级段，档次；壁架，托架 (n.)
668	legal	法律的； 合法的 (adj.)
669	midst	中部； 中间； 当中 (n.)
670	trait	特征， 特点， 特性 (n.)
671	radius	半径， 半径范围 (n.)
672	disintegration	破裂， 分裂； 瓦解 (n.)
673	signal	显著的， 重大的 (adj.)
674	impair	损害， 损伤； 削弱 (vt.)
675	dolphin	海豚 (n.)
676	sightseeing	观光， 游览 (n.)
677	stray	走失，迷路；分心，走神；离题 (vi.)
678	planet	行星 (n.)
679	exhaust	使筋疲力尽，用尽；详尽论述 (vt.)
680	thereafter	之后， 以后 (adv.)
681	soluble	可溶的； 可解决的 (adj.)
682	feast	尽情地吃， 宴饮； 参加宴会 (vi.)
683	vision	想象力， 梦幻； 视力， 视觉 (n.)
684	accompany	陪同， 伴随； 为…伴奏 (v.)
685	armor	盔甲， 装甲； 保护物 (n.)
686	acceptance	接受， 承认； 容忍 (n.)
687	beneficial	有利的， 有益的 (adj.)
688	paradise	天堂， 乐园 (n.)
689	tackle	对付，处理；与…交涉；阻截，擒抱 (vt.)
690	reckon	认为， 估计； 指望， 盼望； 测算， 测量 (vt.)
691	confusion	困惑， 糊涂； 混淆； 骚乱 (n.)
692	distract	转移， 使分心 (vt.)
693	hinge	以…为转移 (vi.)
694	virtual	实质上的， 事实上的， 实际上的 (adj.)
695	squeeze	压榨，挤 (v.)
696	blank	空白的；茫然的，无表情的 (adj.)
697	additional	附加的， 追加的 (adj.)
698	worthy	有价值的， 值得的 (adj.)
699	primarily	首先， 主要地 (adv.)
700	telecommunications	通信， 电信 (n.)
701	ferry	渡船 (n.)
702	ignore	不顾， 不理； 忽视 (vt.)
703	hemisphere	地球的半球； 大脑半球 (n.)
704	reception	招待会， 欢迎会； 接受， 接纳； 接待， 迎接； 接收效果 (n.)
705	applaud	鼓掌，喝彩 (vi.)
706	outward	向外地 (adv.)
707	lunar	月的， 月球的 (adj.)
708	poetry	诗， 诗歌， 诗集 (n.)
709	jury	陪审团， 评奖团 (n.)
710	arrogant	傲慢的， 自大的 (adj.)
711	idiot	白痴； 傻子， 笨蛋 (n.)
712	relay	接力赛；中继转播 (n.)
713	priest	神父， 牧师 (n.)
714	monitor	班长；监视器，检测器；显示器 (n.)
715	solo	以独力，单独地 (adv.)
716	tuition	教学， 讲授， 指导； 学费 (n.)
717	permeate	弥漫， 遍布， 散布； 渗入， 渗透 (v.)
718	utopian	乌托邦的； 理想的 (adj.)
719	schedule	时刻表，日程安排表；清单，明细表 (n.)
720	tame	驯服的，顺从的；沉闷的，乏味的 (adj.)
721	adjoin	贴近； 与…毗连 (vt.)
722	universe	宇宙， 世界； 领域， 范围 (n.)
723	inherit	继承 (vt.)
724	overwhelming	势不可挡的， 压倒的； 巨大的 (adj.)
725	interpret	解释， 说明； 口译 (v.)
726	peculiar	奇怪的， 古怪的； 特有的 (adj.)
727	idiom	习语， 成语； 风格， 特色 (n.)
728	diplomat	外交官， 外交家； 有交际手腕的人， 圆滑的人 (n.)
729	hug	紧抱在一起，互相拥抱 (vi.)
730	grant	授给物 (n.)
731	muscular	肌肉发达的， 强壮的； 肌肉的 (adj.)
732	sparkle	发光，闪耀，闪烁；活跃，焕发 (vi.)
733	hum	哼曲子；发嗡嗡声 (vi.)
734	staple	主要的； 经常需要的 (adj.)
735	discount	折扣 (n.)
736	construct	建造； 构思 (vt.)
737	royalty	王族； 版税 (n.)
738	convert	转变， 转化； 改变 (vt.)
739	attempt	尝试， 试图， 努力 (vt.)
740	rivalry	竞争， 竞赛； 对抗 (n.)
741	relish	享受，从…中获得乐趣 (vt.)
742	fluorescent	荧光的， 发荧光的 (adj.)
743	division	分， 分割； 部门， 科， 处； 除法 (n.)
744	superficial	表面的， 肤浅的 (adj.)
745	executive	执行的；行政的 (adj.)
746	navigation	航行， 航海， 航空； 导航， 领航 (n.)
747	melt	融化； 溶化； 消散 (v.)
748	stalk	高视阔步地走 (vi.)
749	whereas	然而， 但是， 尽管 (conj.)
750	pitch	投掷， 使猛然倒下； 表达， 定下特定程度； 定调； 架设， 搭， 扎； 颠簸 (v.)
751	casualty	伤亡人员， 死伤者； 受害人， 损失的东西 (n.)
752	gauge	测量仪表；厚度，直径；规格、尺寸 (n.)
753	oriental	东方的； 东方人的； 东方文化的 (adj.)
754	electrical	电的； 电气科学的 (adj.)
755	stall	熄火； 拖延， 推迟 (v.)
756	protest	['pr?utest] (v.)
757	sensitive	敏感的， 灵敏的； 神经过敏的， 容易生气的； 易受伤害的 (adj.)
758	classification	分类， 分级， 分类法； 类别， 级别 (n.)
759	brew	冲泡；酝酿，行将发生 (vi.)
760	vacant	空的， 未被占用的； 空缺的； 茫然的， 空虚的 (adj.)
761	menace	具有危险性的人；威胁，威吓 (n.)
762	afford	担负得起； 提供 (vt.)
763	invalid	无效的，作废的；无可靠根据的，站不住脚的 (adj.)
764	curse	诅咒，咒骂，天谴 (v.)
765	legitimate	合情合理的；合理的，法律认可的 (adj.)
766	appease	平息， 抚慰； 姑息 (vt.)
767	sieve	筛子，漏勺 (n.)
768	whereby	凭此； 借以； 由于 (adv.)
769	evaluate	评价， 估…的价 (vt.)
770	status	地位， 身份； 情形， 状况 (n.)
771	machinery	机器， 机械 (n.)
772	shield	防护物，护罩；盾 (n.)
773	skip	跳，蹦跳；跳绳 (vi.)
774	instantaneous	瞬间的， 即刻的 (adj.)
775	phenomenon	现象， 迹象； 非凡的人 (n.)
776	quarterly	按季度，一季一次 (adv.)
777	notify	通知， 告知； 报告 (vt.)
778	bibliography	参考书目； 书目 (n.)
779	stream	流出， 涌出 (v.)
780	recur	再发生， 重现 (vi.)
781	coalition	结合体， 同盟； 结合， 联合 (n.)
782	generalize	概括， 归纳， 推断； 普及 (vt.)
783	accumulate	积累， 堆积 (v.)
784	crime	罪， 罪行， 犯罪 (n.)
785	dwarf	矮小的，发育不全的 (adj.)
786	heave	举起，提起；扔；发出；起伏，隆起；呕吐，恶心 (v.)
787	leisure	空闲时间； 悠闲 (n.)
788	nourish	养育， 喂养， 滋养； 怀有， 增强 (vt.)
789	grease	油脂；润滑脂，润滑油 (n.)
790	allege	断言， 宣称， 硬说 (vt.)
791	pilgrim	朝圣者 (n.)
792	trigger	扳机；引起反应的行动 (n.)
793	assimilate	被吸收， 被消化； 被同化 (vi.)
794	positive	确实的， 明确的； 积极的， 肯定的 (adj.)
795	segregate	使隔离， 使分开 (vt.)
796	addict	有瘾的人； 入迷的人 (n.)
797	prospect	前景， 前途， 可能性； 景象， 景色； 可能成为主顾的人， 有希望的候选人 (n.)
798	withhold	拒绝， 不给； 抑制， 制止 (vt.)
799	comparable	可比较的； 类似的； 比得上的 (adj.)
800	discreet	谨慎的， 慎重的， 审慎的 (adj.)
801	specialize	专攻，专门研究 (vi.)
802	instance	例子， 实例， 事例 (n.)
803	presumably	大概， 可能， 据推测 (adv.)
804	bonus	奖金， 红利； 额外给予的东西 (n.)
805	recognition	认出， 识别； 承认， 确认， 认可； 赏识， 表彰， 报偿 (n.)
806	banquet	宴会， 盛宴 (n.)
807	thrill	非常兴奋， 非常激动 (v.)
808	aisle	过道， 通道 (n.)
809	convene	开会，集合 (vi.)
810	arrangement	整理， 排列； 安排； 准备工作 (n.)
811	revenue	收入， 收益； 税收， 岁入 (n.)
812	solution	解决； 解决办法； 溶液 (n.)
813	monopoly	垄断， 专卖； 垄断物， 垄断商品， 专卖商品 (n.)
814	opponent	对手； 敌手， 对抗者 (n.)
815	accelerate	使加快， 使增速 (vt.)
816	supplementary	增补的， 补充的 (adj.)
817	grain	谷物， 谷粒， 颗粒； 少量， 微量 (n.)
818	credit	信贷，赊欠；赞扬，荣誉；学分；信任 (n.)
819	oxygen	氧， 氧气 (n.)
820	intensive	加强的； 精耕细作的 (adj.)
821	alter	改变， 变更， 变动 (vt.)
822	combine	结合，联合；化合 (v.)
823	ideal	理想的，观念的，空想的 (adj.)
824	occur	发生， 出现， 存在； 被想起， 被想到 (vi.)
825	illustrate	说明 (vt.)
826	hose	软管，水龙带 (n.)
827	definitive	最可靠的， 权威性的； 决定性的 (adj.)
828	streak	飞跑，疾驶 (vi.)
829	pressure	压，压强；压迫 (n.)
830	dentist	牙科医生 (n.)
831	brood	沉思，考虑；孵蛋 (vi.)
832	literacy	识字， 有文化， 读写能力 (n.)
833	originate	起源于，来自，产生 (vi.)
834	specialist	专家 (n.)
835	background	出身背景， 经历； 背景资料； 背景， 底子 (n.)
836	millionaire	百万富翁， 大富翁 (n.)
837	transit	运输， 载运 (n.)
838	adolescent	青春期的； 青少年的 (adj.)
839	nonetheless	尽管如此， 依然， 然而 (adv.)
840	dispose	去掉， 销毁； 处理， 解决； 使倾向于 (v.)
841	petty	小的， 琐碎的； 不重要的； 气量小的， 心胸狭窄的 (adj.)
842	glow	发光； 燃烧 (vi.)
843	sentiment	意见， 观点； 感情， 情绪 (n.)
844	differentiation	区别 (n.)
845	constitution	宪法， 章程； 组成； 设立 (n.)
846	patent	专利的，受专利保护的 (adj.)
847	cocaine	可卡因， 古柯碱 (n.)
848	groove	沟， 槽 (n.)
849	abundance	大量， 丰富， 充足 (n.)
850	racket	喧嚷， 吵闹； 敲诈， 勒索， 诈骗； 球拍 (n.)
851	conceive	构想出， 设想； 怀孕 (vi.)
852	sour	酸的；馊的，酸味的；脾气坏的 (adj.)
853	transform	使改观， 改革； 变换， 把…转换成 (vt.)
854	napkin	餐巾 (n.)
855	reckless	鲁莽的， 不考虑后果的 (adj.)
856	paradox	似乎矛盾而正确的说法； 自相矛盾的人 (n.)
857	magnitude	重要性， 重大； 巨大， 广大 (n.)
858	justification	正当的理由， 借口 (n.)
859	genuine	真的， 真正的； 真诚的 (adj.)
860	execution	死刑； 实行， 执行， 履行； 演奏， 表演 (n.)
861	immune	免疫的， 有免疫力的， 不受影响的； 免除的， 豁免的 (adj.)
862	brochure	小册子 (n.)
863	stern	严厉的，严格的，严峻的 (adj.)
864	rotary	旋转的， 转动的 (adj.)
865	compound	复合的，化合的 (adj.)
866	dub	给…起绰号， 把…称为； 为配音， 译制 (vt.)
867	masculine	男性的， 男子的； 男子气的 (adj.)
868	extraordinary	非同寻常的， 特别的 (adj.)
869	witness	证据；目击者，证人 (n.)
870	conventional	普通的； 习惯的， 常规的； 因循守旧的 (adj.)
871	regulation	规章， 规则； 管理， 控制， 调节 (n.)
872	conform	遵守， 适应； 顺从； 相似， 一致， 符合 (vi.)
873	circulation	循环， 流通； 流传， 传播， 发行； 发行量； 流通 (n.)
874	authentic	真的， 真正的； 可靠的， 可信的 (adj.)
875	mere	仅仅的， 纯粹的 (adj.)
876	accommodation	住处， 膳宿 (n.)
877	evident	明显的， 明白的 (adj.)
878	suburb	郊区， 郊外， 近郊 (n.)
879	pumpkin	南瓜 (n.)
880	annoy	使恼怒； 打搅 (vt.)
881	profess	表示， 承认； 宣称信仰 (vt.)
882	psychological	心理的 (adj.)
883	credible	可信的， 可靠的 (adj.)
884	empirical	以经验为依据的， 经验主义的， 经验的 (adj.)
885	commit	犯， 干； 使承诺； 把…托付给； 调拨…供使用， 拨出 (vt.)
886	curb	控制，约束 (vt.)
887	crash	倒下，坠落；发出撞击声；垮台，破产 (vi.)
888	character	性格， 特性； 性质； 人物， 角色； 符号， 字 (n.)
889	reflect	反映， 显示； 反射， 映现； 深思， 考虑， 反省 (v.)
890	outfit	全套服装； 一组人； 全套装备， 全套工具 (n.)
891	contribution	贡献； 促成作用； 捐款， 捐献物； 稿件 (n.)
892	ongoing	持续的， 继续的 (adj.)
893	massacre	大规模屠杀，残杀；彻底击败 (vt.)
894	reassure	使放心 (vt.)
895	bang	猛击， 猛撞； 发出砰的一声， 砰砰地响； 砰地敲 (v.)
896	magnetic	磁的； 有吸引力的 (adj.)
897	cholesterol	胆固醇 (n.)
898	orbit	轨道 (n.)
899	band	乐队；群，伙；带；条纹；波段 (n.)
900	negligible	可忽略不计的， 微不足道的 (adj.)
901	setback	挫折， 倒退， 失败 (n.)
902	resident	居住的， 定居的； 住校的， 住院的 (adj.)
903	symbolic	符号的； 象征性的 (adj.)
904	distinguish	区别， 辨别， 识别； 使杰出； 使著名 (vt.)
905	mall	购物中心 (n.)
906	module	组件， 模块， 模件； 舱 (n.)
907	howl	嗥叫； 呼啸； 吼叫， 哀号 (n&vi.)
908	execute	将…处死； 实施 (vt.)
909	substantial	可观的， 大量的； 物质的， 坚固的； 实质的， 真实的 (adj.)
910	benefit	得益 (vi.)
911	booth	小房间， 公用电话亭， 岗亭； 售货棚， 货摊 (n.)
912	enthusiastic	满腔热情的， 热心的， 极感兴趣的 (adj.)
913	disastrous	灾难性的， 造成灾害的； 极坏的， 很糟的 (adj.)
914	unique	唯一的， 独一无二的； 极不寻常的， 极好的 (adj.)
915	processing	处理 (n.)
916	boost	推动， 促进， 激励； 替…做广告， 宣扬； 提高， 使增长 (v.)
917	impulse	冲动， 一时的念头； 推动， 驱使； 脉冲 (n.)
918	sober	未醉的，有节制的；严肃的，持重的；素淡的，暗淡的 (adj.)
919	crystallize	结晶； 变得清晰而明确； 使具体化 (v.)
920	religious	宗教的； 笃信宗教的， 虔诚的 (adj.)
921	infectious	传染的， 有传染性的； 有感染力的 (adj.)
922	shelter	掩蔽， 躲避， 庇护 (v.)
923	prominent	突出的， 杰出的； 突起的； 凸出的 (adj.)
924	expel	把…除名， 把…开除； 驱逐， 赶走， 放逐； 排出， 喷出 (vt.)
925	superiority	优越， 优等 (n.)
926	outset	开始， 开端 (n.)
927	latitude	纬度； 纬度地区； 回旋余地， 自由 (n.)
928	scan	细看，审视，浏览 (vt.)
929	association	协会， 团体； 联合， 交往 (n.)
930	fundamental	基础的，基本的 (adj.)
931	eliminate	消灭， 消除， 排除； 淘汰 (vt.)
932	cute	漂亮的， 娇小可爱的； 聪明伶俐的， 精明的 (adj.)
933	entitle	给…权利； 给题名 (vt.)
934	outline	提纲，要点；外形；略图 (n.)
935	partition	分隔物，隔墙；分割，划分 (n.)
936	nominal	名义上的， 有名无实的； 很少的， 象征性的； 名词性的 (adj.)
937	excess	过量的， 额外的 (adj.)
938	glance	看一下 (vi.)
939	perspective	视角， 观点； 远景， 景观； 透视画法， 透视图 (n.)
940	galaxy	星系； 银河系， 银河； 一群 (n.)
941	equality	等同； 平等； 相等 (n.)
942	destruction	破坏， 毁灭； 消灭 (n.)
943	rebellion	反叛， 反抗 (n.)
944	expression	词语； 表达， 表情 (n.)
945	reaction	反应， 反作用 (n.)
946	accordance	一致， 和谐， 符合 (n.)
947	weary	厌烦， 不耐烦 (vi.)
948	appeal	求助，诉请；要求；有吸引力 (vi.)
949	swamp	沼泽 (n.)
950	entrepreneur	企业家 (n.)
951	dedicate	题献词于上； 把献给， 把用于 (vt.)
952	peninsula	半岛 (n.)
953	extensive	广阔的； 广泛的 (adj.)
954	residential	居住的， 住宅的； 寄宿的， 住在住所的 (adj.)
955	definitely	一定地， 明确地 (adv.)
956	stab	刺， 戳 (n&v.)
957	abandon	离弃， 丢弃； 遗弃； 抛弃； 放弃 (vt.)
958	collaboration	合作， 协作； 勾结 (n.)
959	inspire	鼓舞； 给…以灵感 (vt.)
960	impart	告知， 透露； 赋予， 给予 (vt.)
961	bureaucracy	官僚主义， 官僚作风； 官僚机构； 官僚制度； 官僚 (n.)
962	household	家庭的， 家喻户晓的 (adj.)
963	glide	滑行， 滑动； 滑翔 (n.)
964	adverse	不利的， 有害的 (adj.)
965	bulletin	简明新闻， 最新消息； 公告， 布告， 公报； 学报， 期刊 (n.)
966	devote	将…奉献给， 把…专用 (vt.)
967	junction	联结点， 交叉点， 枢纽 (n.)
968	crumble	崩溃， 瓦解 (vi.)
969	achievement	完成； 成就， 成绩 (n.)
970	agent	代理人， 代理商； 政府代表； 动因， 原因； 剂 (n.)
971	abortion	流产， 堕胎 (n.)
972	salvation	拯救， 解救； 解救措施 (n.)
973	instinct	本能； 直觉， 生性 (n.)
974	cannon	加农炮， 大炮， 火炮 (n.)
975	invest	投资， 投入； 授予 (v.)
976	reputation	名誉， 名气， 名声 (n.)
977	project	伸出； 投射； 放映 (v.)
978	shrug	耸肩 (n&v.)
979	arena	表演场地， 竞技场； 活动场所 (n.)
980	independence	独立； 自主； 自立 (n.)
981	shrub	灌木 (n.)
982	presentation	提供， 显示； 外观， 图像； 授予， 赠送； 报告， 介绍； 表演 (n.)
983	nominate	提名， 任命； 推荐， 指定 (vt.)
984	loom	阴森地逼近， 隐现； 即将来临 (vi.)
985	stationary	固定的， 静止不动的 (adj.)
986	restrain	阻止， 控制； 抑制， 遏制 (vt.)
987	awkward	笨拙的， 尴尬的； 难操纵的， 使用不便的； 不灵巧的 (adj.)
988	ruin	毁坏 (v.)
989	beforehand	预先， 事先 (adv.)
990	formidable	可怕的， 令人敬畏的； 难以克服的， 难对付的 (adj.)
991	impatient	不耐烦的， 急躁的； 热切的， 急切的 (adj.)
992	invert	使倒转， 使倒置， 使颠倒 (vt.)
993	cradle	摇篮；策源地，发源地 (n.)
994	discrete	分离的， 不相关联的 (adj.)
995	assurance	把握， 信心； 保证， 表示保证的话； 保险 (n.)
996	psychiatrist	精神科医生， 精神病专家 (n.)
997	squad	班， 小队， 小组 (n.)
998	disrupt	使中断； 扰乱 (vt.)
999	scar	留下伤痕 (v.)
1000	sergeant	中士， 警官 (n.)
1001	vital	生死攸关的， 极其重要的； 生命的， 有生命力的 (adj.)
1002	eccentric	古怪的，怪癖的，异乎寻常的 (adj.)
1003	conflict	冲突， 抵触 (vi.)
1004	appliance	用具， 器具， 器械 (n.)
1005	alloy	合金 (n.)
1006	delusion	欺骗； 哄骗 (n.)
1007	mass	大量的，大规模的 (adj.)
1008	detect	察觉， 发觉； 侦查出 (vt.)
1009	update	更新；使现代化 (vt.)
1010	renaissance	文艺复兴， 文艺复兴时期； 复兴， 再生 (n.)
1011	poisonous	有毒的； 恶毒的 (adj.)
1012	condemn	谴责， 指责； 判…刑， 宣告…有罪 (vt.)
1013	assistance	协助， 援助 (n.)
1014	auction	拍卖 (n&vt.)
1015	propel	推进， 推动； 激励， 驱使 (vt.)
1016	admit	承认 (vi.)
1017	uneven	不平坦的， 不平滑的； 不一致的， 不相等的 (adj.)
1018	definition	定义， 释义， 定界； 清晰， 鲜明 (n.)
1019	mansion	大厦， 宅邸 (n.)
1020	mask	面具，面罩，口罩；伪装 (n.)
1021	patrol	巡逻，巡查 (v.)
1022	nickel	镍； 五分镍币， 五分钱 (n.)
1023	patron	资助人， 赞助人； 老主顾， 顾客 (n.)
1024	entail	使承担； 使成为必要， 需要 (vt.)
1025	inferior	下等的，劣等的 (adj.)
1026	apply	应用，实施，使用；适用；申请，请求 (vi.)
1027	propaganda	宣传 (n.)
1028	overlook	忽视； 宽恕； 俯瞰 (vt.)
1029	refuge	庇护所， 避难处； 庇护 (n.)
1030	dramatic	引人注目的， 激动人心的； 戏剧的 (adj.)
1031	incredible	不能相信的， 不可信的， 难以置信的； 惊人的 (adj.)
1032	certainty	必然的事， 确定的事实； 确信， 确实 (n.)
1033	corrode	腐蚀， 侵蚀 (v.)
1034	spine	脊柱， 脊椎； 刺， 刺毛； 书脊 (n.)
1035	commend	称赞， 表扬； 推荐 (vt.)
1036	parasite	寄生生物； 寄生虫 (n.)
1037	artificial	人工的， 人为的； 矫揉造作的； 模拟的 (adj.)
1038	deficiency	缺乏， 不足； 缺点， 缺陷 (n.)
1039	imaginary	想象中的， 假想的 (adj.)
1040	formula	公式， 式； 原则， 方案； 配方 (n.)
1041	disgust	厌恶， 憎恶 (n&vt.)
1042	transcend	超出， 超越范围 (vt.)
1043	tribute	颂词， 称赞， 礼物； 贡品 (n.)
1044	mob	暴民，乌合之众 (n.)
1045	subordinate	下级的，级别低的；次要的，从属的 (adj.)
1046	trend	伸向，倾向 (vi.)
1047	sturdy	强壮的， 结实的， 坚固的； 坚定的， 坚强的 (adj.)
1048	desirable	吸引人的， 可取的 (adj.)
1049	consist	由…组成； 在于； 一致 (vi.)
1050	reliable	可靠的， 可依赖的 (adj.)
1051	compatible	兼容的； 能和睦相处的， 合得来的 (adj.)
1052	incentive	刺激， 鼓励 (n.)
1053	critic	批评家， 爱挑剔的人 (n.)
1054	preliminary	预备的，初步的 (adj.)
1055	obstacle	障碍， 障碍物； 妨害 (n.)
1056	profession	职业； 公开表示 (n.)
1057	van	大篷车， 运货车 (n.)
1058	dizzy	头晕目眩的，眩晕的；头晕的 (adj.)
1059	resemblance	相似， 形似 (n.)
1060	exceptional	优越的， 杰出的； 例外的， 独特的， 异常的 (adj.)
1061	constitute	组成， 形成； 设立； 任命 (vt.)
1062	cherish	珍爱， 珍视； 爱护， 抚育； 抱有， 怀有 (vt.)
